state,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25
AK,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,12.0,14.0,22.0,22.0,36.0,42.0
AL,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,12.0,28.0,36.0,46.0,68.0,81.0,124.0,138.0,167.0,215.0,283.0
AR,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,12.0,16.0,22.0,22.0,33.0,46.0,96.0,118.0,165.0,174.0,218.0,280.0
AS,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0
AZ,2.0,2.0,3.0,5.0,5.0,5.0,6.0,9.0,9.0,9.0,12.0,12.0,18.0,20.0,28.0,44.0,65.0,104.0,152.0,265.0,357.0,450.0
CA,53.0,53.0,60.0,69.0,88.0,114.0,133.0,157.0,202.0,202.0,252.0,293.0,335.0,483.0,611.0,924.0,1063.0,1279.0,1536.0,1733.0,2102.0,2102.0
CO,,0.0,2.0,8.0,8.0,9.0,12.0,28.0,45.0,72.0,101.0,131.0,131.0,160.0,183.0,216.0,277.0,363.0,475.0,591.0,720.0,912.0
CT,,,,0.0,1.0,1.0,2.0,3.0,6.0,6.0,11.0,20.0,26.0,41.0,68.0,96.0,194.0,194.0,223.0,415.0,618.0,875.0
DC,,0.0,0.0,0.0,1.0,1.0,5.0,4.0,10.0,10.0,10.0,16.0,17.0,22.0,31.0,39.0,71.0,77.0,98.0,116.0,137.0,183.0
DE,,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,6.0,6.0,8.0,16.0,25.0,30.0,38.0,45.0,56.0,68.0,91.0,115.0
FL,2.0,9.0,9.0,14.0,17.0,18.0,19.0,28.0,32.0,50.0,77.0,116.0,141.0,186.0,314.0,390.0,520.0,658.0,830.0,1171.0,1412.0,1682.0
GA,2.0,2.0,2.0,6.0,7.0,12.0,17.0,22.0,31.0,42.0,66.0,99.0,121.0,146.0,197.0,287.0,420.0,507.0,600.0,772.0,1026.0,1247.0
GU,,,,,,,,,,,,,3.0,5.0,8.0,12.0,14.0,15.0,27.0,29.0,32.0,37.0
HI,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,10.0,14.0,16.0,26.0,37.0,48.0,56.0,77.0,90.0
IA,,,0.0,0.0,0.0,3.0,8.0,13.0,14.0,16.0,17.0,18.0,22.0,23.0,29.0,38.0,45.0,68.0,90.0,105.0,124.0,145.0
ID,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,9.0,11.0,23.0,31.0,42.0,47.0,50.0,73.0
IL,4.0,5.0,5.0,6.0,6.0,7.0,19.0,19.0,25.0,32.0,46.0,64.0,93.0,160.0,289.0,426.0,590.0,759.0,1058.0,1285.0,1551.0,1865.0
IN,,,1.0,1.0,2.0,2.0,6.0,10.0,12.0,12.0,15.0,19.0,24.0,30.0,39.0,56.0,79.0,126.0,201.0,259.0,365.0,477.0
KS,,,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,8.0,11.0,15.0,16.0,34.0,44.0,55.0,64.0,82.0,98.0,126.0
KY,,,0.0,1.0,1.0,4.0,6.0,8.0,8.0,11.0,14.0,16.0,21.0,22.0,26.0,35.0,47.0,54.0,99.0,104.0,124.0,157.0
LA,,,,0.0,0.0,1.0,1.0,6.0,14.0,36.0,69.0,91.0,114.0,171.0,240.0,347.0,479.0,585.0,837.0,1172.0,1388.0,1795.0
MA,2.0,2.0,8.0,13.0,13.0,41.0,92.0,92.0,95.0,123.0,138.0,138.0,164.0,218.0,256.0,328.0,413.0,525.0,646.0,777.0,1159.0,1838.0
MD,,0.0,3.0,3.0,3.0,5.0,6.0,9.0,12.0,17.0,26.0,31.0,37.0,57.0,85.0,107.0,149.0,190.0,244.0,288.0,349.0,423.0
ME,,,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,17.0,32.0,43.0,53.0,57.0,73.0,89.0,107.0,125.0,149.0
MI,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,25.0,33.0,53.0,65.0,80.0,336.0,549.0,787.0,1035.0,1328.0,1791.0,2294.0
MN,,,0.0,1.0,1.0,2.0,3.0,5.0,9.0,14.0,21.0,35.0,54.0,60.0,77.0,89.0,115.0,138.0,169.0,235.0,262.0,287.0
MO,,,,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,8.0,13.0,24.0,47.0,73.0,90.0,183.0,183.0,356.0
MP,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS,,,,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,10.0,12.0,21.0,34.0,50.0,80.0,140.0,207.0,249.0,320.0,377.0
MT,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,7.0,7.0,8.0,10.0,12.0,16.0,20.0,31.0,34.0,46.0,53.0
NC,1.0,1.0,2.0,2.0,2.0,2.0,7.0,7.0,12.0,15.0,23.0,32.0,33.0,40.0,63.0,97.0,137.0,184.0,255.0,297.0,398.0,504.0
ND,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,15.0,20.0,28.0,28.0,30.0,34.0,39.0
NE,,0.0,0.0,1.0,1.0,3.0,3.0,5.0,10.0,13.0,14.0,17.0,18.0,21.0,24.0,27.0,32.0,38.0,48.0,50.0,52.0,61.0
NH,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,6.0,6.0,7.0,13.0,13.0,17.0,26.0,39.0,44.0,55.0,65.0,78.0,101.0,108.0
NJ,,1.0,1.0,4.0,6.0,11.0,15.0,24.0,30.0,50.0,50.0,98.0,178.0,267.0,427.0,742.0,890.0,1327.0,1914.0,2844.0,3675.0,4402.0
NM,,,0.0,0.0,0.0,0.0,0.0,3.0,5.0,10.0,10.0,13.0,17.0,23.0,28.0,35.0,43.0,57.0,57.0,65.0,83.0,100.0
NV,,1.0,1.0,1.0,1.0,1.0,0.0,5.0,7.0,11.0,20.0,21.0,45.0,55.0,55.0,95.0,109.0,124.0,190.0,245.0,278.0,321.0
NY,6.0,22.0,33.0,76.0,105.0,142.0,173.0,216.0,216.0,421.0,524.0,729.0,950.0,1700.0,2382.0,4152.0,7102.0,10356.0,15168.0,20875.0,25665.0,30811.0
OH,,0.0,0.0,0.0,0.0,3.0,3.0,4.0,5.0,13.0,13.0,36.0,50.0,67.0,88.0,119.0,169.0,247.0,351.0,442.0,564.0,704.0
OK,,,,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,9.0,10.0,17.0,29.0,44.0,49.0,53.0,67.0,81.0,106.0,164.0
OR,3.0,3.0,3.0,7.0,14.0,14.0,15.0,19.0,19.0,30.0,30.0,36.0,39.0,47.0,75.0,88.0,114.0,114.0,161.0,191.0,209.0,209.0
PA,,,2.0,2.0,4.0,7.0,12.0,15.0,22.0,33.0,47.0,63.0,76.0,96.0,133.0,185.0,268.0,371.0,479.0,644.0,851.0,1127.0
PR,,,,,,,,,,,,,5.0,5.0,5.0,5.0,14.0,21.0,23.0,31.0,39.0,51.0
RI,,,,2.0,3.0,3.0,3.0,5.0,5.0,14.0,20.0,20.0,21.0,21.0,33.0,33.0,54.0,66.0,83.0,106.0,106.0,124.0
SC,0.0,0.0,0.0,2.0,2.0,7.0,7.0,9.0,10.0,12.0,13.0,19.0,28.0,33.0,60.0,60.0,81.0,152.0,195.0,299.0,298.0,424.0
SD,,,,0.0,0.0,0.0,0.0,5.0,8.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,14.0,14.0,21.0,28.0,30.0,41.0
TN,,1.0,1.0,1.0,3.0,3.0,7.0,7.0,18.0,26.0,32.0,39.0,52.0,73.0,98.0,154.0,228.0,371.0,505.0,615.0,667.0,784.0
TX,1.0,1.0,5.0,8.0,8.0,12.0,13.0,21.0,23.0,39.0,51.0,56.0,57.0,64.0,83.0,143.0,194.0,304.0,334.0,352.0,410.0,974.0
UT,,,,1.0,1.0,1.0,2.0,2.0,4.0,6.0,6.0,28.0,39.0,51.0,63.0,78.0,112.0,136.0,181.0,257.0,299.0,346.0
VA,,0.0,0.0,0.0,2.0,3.0,8.0,9.0,17.0,30.0,30.0,45.0,51.0,67.0,77.0,94.0,114.0,152.0,219.0,254.0,290.0,391.0
VI,,,,,,,,,,,,,1.0,2.0,2.0,3.0,3.0,6.0,6.0,17.0,17.0,17.0
VT,,,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,8.0,10.0,19.0,22.0,29.0,29.0,52.0,75.0,95.0,123.0
WA,39.0,70.0,79.0,102.0,102.0,136.0,162.0,267.0,337.0,457.0,568.0,642.0,769.0,904.0,1012.0,1187.0,1376.0,1524.0,1793.0,1996.0,2221.0,2469.0
WI,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,19.0,19.0,33.0,47.0,72.0,106.0,155.0,206.0,281.0,385.0,416.0,457.0,585.0
WV,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,11.0,12.0,16.0,20.0,39.0
WY,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,10.0,15.0,18.0,19.0,23.0,24.0,26.0,29.0,44.0
